id,female,black,latin,white,employed,wage,collgrad,age,parent_college,numkids,efc
602,1,0,1,0,1,13,0,35,0,1,0
603,0,0,1,0,1,32,0,33,0,2,0
604,1,0,1,0,1,19.35,0,36,0,3,0.047975119999999996
606,0,0,0,1,0,NA,0,37,1,0,0
607,1,0,0,1,1,50,1,35,1,1,0
608,0,0,0,1,1,15.49,0,34,0,0,1.646899
609,1,0,0,1,1,44.24,1,35,0,2,26.20729
610,1,0,0,1,0,18.5,0,36,0,2,5.965777
611,0,0,0,1,1,17.31,0,33,0,0,5.959219
612,0,0,0,1,1,31.25,1,33,1,0,0
613,0,0,0,1,1,25.17,1,34,0,0,2.390304
617,1,0,1,0,0,NA,0,34,0,3,0
618,0,0,1,0,1,24,0,36,0,2,5.91536
619,0,0,1,0,0,29.11,0,34,0,1,2.7640819999999997
623,0,0,1,0,1,31.99,0,35,0,4,0
624,1,0,1,0,1,9.38,0,37,0,2,0
625,0,0,1,0,0,17,0,35,0,0,0
626,1,0,1,0,1,10,0,35,0,2,0
627,0,0,0,1,1,23.14,0,35,1,0,0
628,0,0,0,1,1,31.25,1,35,1,2,14.40475
629,1,0,0,1,0,NA,0,33,1,2,0
632,1,0,0,1,1,45.61,1,34,0,2,0
633,1,0,0,1,1,38.46,1,34,0,2,5.507229000000001
635,1,0,0,1,1,11,0,36,1,1,9.661950000000001
636,0,0,0,1,1,20.83,0,35,0,0,13.66478
637,1,0,1,0,1,24.89,1,36,0,0,0
638,0,0,0,1,1,55.77,1,33,0,2,0
640,0,0,0,1,1,56.29,0,35,1,0,5.409779
641,1,0,0,1,0,NA,1,37,1,0,6.131877
642,0,0,0,1,0,NA,1,37,0,2,8.920859
643,0,0,0,1,1,39.17,1,35,0,3,8.920859
647,0,0,0,1,1,12.88,0,33,1,0,3.911961
648,0,0,0,1,1,67.65,0,36,0,3,6.30489
650,1,0,0,1,0,NA,1,33,0,2,6.30489
651,1,0,0,1,1,12.28,0,35,0,0,0
652,1,0,0,1,0,NA,0,34,0,4,0
653,0,0,0,1,0,NA,0,34,1,0,2.758617
658,1,0,1,0,1,10,0,33,0,4,0
659,0,0,1,0,1,16,0,37,0,2,7.174417999999999
660,1,0,1,0,1,17,0,35,0,1,7.174417999999999
661,0,0,1,0,1,33.28,0,35,0,4,0
662,0,0,1,0,1,26.44,0,37,0,0,2.8634079999999997
663,0,0,1,0,1,29.71,0,35,0,1,0.5383419
664,0,1,0,0,1,15.34,0,34,0,2,0
665,0,0,1,0,1,16.92,1,36,0,3,3.1949340000000004
666,1,0,0,1,1,56.09,1,36,0,1,0.5248651999999999
667,1,0,0,1,1,26.68,1,35,0,0,0.5248651999999999
668,1,0,0,1,1,37.18,1,33,0,0,0.5248651999999999
669,0,1,0,0,0,NA,1,34,0,1,7.419587000000001
672,1,1,0,0,1,8.4,1,37,1,3,4.008543
673,0,1,0,0,1,51.44,1,35,1,4,4.008543
675,1,1,0,0,1,13.5,0,36,0,3,0
676,1,1,0,0,1,47.01,1,33,0,5,4.000974
677,1,1,0,0,1,11,0,34,0,1,0
